Marca;Descripción;Precio;Cantidad
Nike;Zapatillas;200;3
Adidas;Remera;100;5
Puma;Shorts;50;10
Levi's;Jeans;150;3
Converse;Zapatillas;80;2
Reebok;Calzas;70;5
Fila;Gorras;30;6
Under Armour;Musculosa;40;2
New Balance;Medias;10;10
Champion;Buzo;80;2
Tommy Hilfiger;Camisa;120;3
DC Shoes;Gorra;25;10
H&M;Sweater;60;5
Zara;Chaqueta;90;2
Gap;Pantalón;80;2
Forever 21;Vestido;40;4
Ralph Lauren;Bufanda;50;5
Diesel;Cartera;120;2
Hugo Boss;Corbata;70;3
Armani;Traje;500;1
Adidas;Zapatillas;150;4
Puma;Shorts deportivos;50;5
Nike;Remera;40;5
Under Armour;Campera;120;4
Champion;Sweater;80;5
Tommy Hilfiger;Pantalón;100;3
Levi's;Jeans;90;8
Zara;Camisa;60;5
Mango;Blusa;50;5
H&M;Vestido;70;5
Forever 21;Top;30;10
Calvin Klein;Boxers;30;10
Victoria's Secret;Brasier;40;5
Calzedonia;Medias;10;10
Havaianas;Ojotas;20;5
Vans;Buzo;80;5
Converse;Zapatillas;100;2
Reebok;Shorts;40;10
New Balance;Remera manga larga;50;7
Fila;Campera;100;2
